,accuracy,precision,recall,specificity,f1_score,cohens_kappa,matthews_corr_coeff,roc_auc,pr_auc,average_precision
decision_tree_baseline,0.7233333333333334,0.3816631130063966,0.4046721929163527,0.8138240958698909,0.3928310168251646,0.21388003714653614,0.2140336931441623,0.6095279347712678,0.4589251149708047,0.28616835280766334
random_forest,0.8118333333333333,0.633423180592992,0.3541823662396383,0.941793280547828,0.4543257612373127,0.35144338792034113,0.3731445361101501,0.7517763463762952,0.5247244574365608,0.5207332793563594
random_forest_rs,0.809,0.6115906288532675,0.373775433308214,0.9325914829873743,0.4639850327408793,0.35591478366661333,0.37189723952439785,0.7351625227319605,0.486252702993192,0.48216671535493205
gradient_boosted_trees,0.8143333333333334,0.6591928251121076,0.33232856066315,0.9512090734003852,0.44188376753507014,0.34473633284100336,0.3738752039368303,0.775486121671563,0.5474742234717067,0.5478129418322746
gradient_boosted_trees_rs,0.806,0.6048906048906049,0.3541823662396383,0.9343034453242028,0.4467680608365019,0.3387517063784896,0.35660488488387215,0.754704066442716,0.514659429168976,0.5151934660230014
xgboost,0.8108333333333333,0.6246753246753247,0.3624717407686511,0.9381553605820672,0.4587505960896519,0.3537930733449606,0.3730484796083746,0.7607803555224573,0.5226143170329411,0.5230390246910813
xgboost_rs,0.7988333333333333,0.569284064665127,0.3715146948003014,0.920179756045367,0.4496124031007752,0.3331268193519562,0.3444884305960807,0.7365977586774929,0.4927172511053046,0.49330601514439404
light_gbm,0.8173333333333334,0.6575716234652115,0.3632253202712886,0.946287181682003,0.4679611650485437,0.3685798173298339,0.39226350208938454,0.7753952502720901,0.547444266271061,0.5477634576251839
light_gbm_rs,0.8016666666666666,0.583232077764277,0.3617181612660136,0.9265996148084742,0.44651162790697674,0.3336915596638147,0.3478289864437669,0.7537560850375685,0.5051167774876234,0.5057038423738893
