"느리게 나이 드는 습관", "정희원 ", 16200
"1학년 한글 떼기(개정판)", "하유정 ", 12600
"나도 그림 잘 그리면 소원이 없겠네", "카콜(임세환) ", 16200
"미라클모닝 확장판", "할 엘로드 ", 17550
"맛있는 디자인 포토샵&일러스트레이터 CC 2024", "빨간고래(박정아) / 윤이사라(포완카) ", 23400
"원칙", "레이 달리오(Ray Dalio) ", 31500
"무조건 1,000만 원 벌고 시작하는 초수익 부동산 경매의 기술", "유근용 / 양진노 ", 25200
"그들은 어떻게 영어 1등급을 만드나", "백시영 / 남기정 ", 16650
"IT CookBook, 난생처음 파이썬 프로그래밍", "우재남 / 최민아 ", 24000
"박태웅의 AI 강의", "박태웅 ", 15030
"회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글(모든 버전 사용 가능, 개정판)", "전미진 / 이화진 / 신면철 ", 19800
"혼자 공부하는 파이썬(개정판)", "윤인성 ", 19800
"재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지", "한빛학습연구회 ", 6750
"챗GPT API를 활용한 챗봇 만들기", "이승우 ", 28800
"IT CookBook, 디지털 논리회로(4판)", "임석구 / 홍경호 ", 32000
